symbol,funding_rate,funding_time,mark_price
XRPUSDT,0.00011103,1582646400001,
XRPUSDT,0.00010000,1582675200000,
XRPUSDT,0.00012143,1582704000001,
XRPUSDT,0.00010000,1582732800000,
XRPUSDT,0.00010000,1582761600001,
XRPUSDT,0.00010000,1582790400001,
XRPUSDT,0.00010000,1582819200000,
XRPUSDT,0.00015561,1582848000000,
XRPUSDT,0.00020472,1582876800000,
XRPUSDT,0.00010000,1582905600000,
XRPUSDT,0.00010000,1582934400000,
XRPUSDT,0.00040397,1582963200000,
XRPUSDT,0.00018203,1582992000000,
XRPUSDT,0.00022598,1583020800000,
XRPUSDT,0.00013142,1583049600000,
XRPUSDT,0.00010000,1583078400001,
XRPUSDT,0.00030761,1583107200000,
XRPUSDT,0.00010000,1583136000000,
XRPUSDT,0.00010000,1583164800004,
XRPUSDT,0.00027794,1583193600000,
XRPUSDT,0.00024294,1583222400003,
XRPUSDT,0.00010000,1583251200000,
XRPUSDT,0.00019764,1583280000002,
XRPUSDT,0.00018098,1583308800000,
XRPUSDT,0.00022050,1583337600001,
XRPUSDT,0.00010000,1583366400000,
XRPUSDT,0.00017193,1583395200000,
XRPUSDT,0.00047024,1583424000000,
XRPUSDT,0.00025270,1583452800003,
XRPUSDT,0.00033903,1583481600000,
XRPUSDT,0.00030528,1583510400000,
XRPUSDT,0.00039742,1583539200000,
XRPUSDT,0.00032370,1583568000001,
XRPUSDT,0.00025411,1583596800000,
XRPUSDT,0.00071553,1583625600001,
XRPUSDT,0.00027966,1583654400000,
XRPUSDT,0.00022191,1583683200006,
XRPUSDT,0.00010000,1583712000000,
XRPUSDT,0.00010000,1583740800000,
XRPUSDT,0.00010000,1583769600000,
XRPUSDT,0.00010000,1583798400000,
XRPUSDT,0.00010000,1583827200000,
XRPUSDT,0.00010000,1583856000000,
XRPUSDT,0.00010000,1583884800001,
XRPUSDT,0.00010000,1583913600000,
XRPUSDT,0.00010000,1583942400000,
XRPUSDT,0.00010000,1583971200001,
XRPUSDT,0.00010000,1584000000001,
XRPUSDT,-0.00054364,1584028800000,
XRPUSDT,0.00008860,1584057600000,
XRPUSDT,-0.00432483,1584086400000,
XRPUSDT,-0.00105843,1584115200002,
XRPUSDT,-0.00046517,1584144000000,
XRPUSDT,0.00010000,1584172800001,
XRPUSDT,0.00010000,1584201600000,
XRPUSDT,0.00010000,1584230400000,
XRPUSDT,0.00006808,1584259200000,
XRPUSDT,0.00010000,1584288000001,
XRPUSDT,0.00010000,1584316800000,
XRPUSDT,0.00010000,1584345600000,
XRPUSDT,-0.00072875,1584374400001,
XRPUSDT,0.00004465,1584403200000,
XRPUSDT,0.00009686,1584432000000,
XRPUSDT,0.00010000,1584460800000,
XRPUSDT,0.00010000,1584489600000,
XRPUSDT,0.00010000,1584518400000,
XRPUSDT,0.00010000,1584547200000,
XRPUSDT,0.00010000,1584576000000,
XRPUSDT,0.00010000,1584604800000,
XRPUSDT,0.00010000,1584633600000,
XRPUSDT,0.00010000,1584662400000,
XRPUSDT,0.00010000,1584691200000,
XRPUSDT,0.00010000,1584720000000,
XRPUSDT,0.00010000,1584748800000,
XRPUSDT,0.00010000,1584777600000,
XRPUSDT,0.00010000,1584806400000,
XRPUSDT,0.00010000,1584835200000,
XRPUSDT,-0.00002544,1584864000001,
XRPUSDT,-0.00001993,1584892800000,
XRPUSDT,0.00010000,1584921600000,
XRPUSDT,0.00010000,1584950400000,
XRPUSDT,0.00010000,1584979200000,
XRPUSDT,0.00000886,1585008000000,
XRPUSDT,0.00009185,1585036800000,
XRPUSDT,0.00010000,1585065600000,
XRPUSDT,-0.00009172,1585094400000,
XRPUSDT,0.00010000,1585123200000,
XRPUSDT,0.00010000,1585152000001,
XRPUSDT,0.00005580,1585180800006,
XRPUSDT,0.00010000,1585209600002,
XRPUSDT,0.00010000,1585238400000,
XRPUSDT,0.00010000,1585267200000,
XRPUSDT,0.00010000,1585296000000,
XRPUSDT,0.00010000,1585324800000,
XRPUSDT,0.00010000,1585353600000,
XRPUSDT,0.00010000,1585382400000,
XRPUSDT,0.00010000,1585411200000,
XRPUSDT,0.00010000,1585440000000,
XRPUSDT,0.00010000,1585468800001,
XRPUSDT,0.00010000,1585497600000,
XRPUSDT,-0.00000183,1585526400000,
XRPUSDT,0.00010000,1585555200000,
XRPUSDT,0.00010000,1585584000000,
XRPUSDT,0.00010000,1585612800000,
XRPUSDT,0.00010000,1585641600001,
XRPUSDT,0.00010000,1585670400001,
XRPUSDT,0.00010000,1585699200002,
XRPUSDT,0.00010000,1585728000000,
XRPUSDT,0.00010000,1585756800001,
